target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,2NDFL,elementary,,43761,0,0,0,0.7270609319,26.389767198,1.4610000749,0,0,6.0363425406,472
0,OTHER,high,Corporate,39126,0,1,0,4.9887544803,38.941118347,10.009611498,0,0,11.540983607,474
0,OTHER,beginner,,19000,0,0,,,31.912568306,7.0642188787,,,9.6779175088,478
0,OTHER,beginner,Corporate,53382,0,1,0,56.145116487,51.520547945,1.5184070664,1,1,5.8082191781,486
0,OTHER,elementary,,50000,0,0,0,,53.244876113,3.8606557377,,,8.0983606557,500
0,2NDFL,elementary,,274379,0,1,1,7.3128360215,38.356164384,0.3559473014,1,1,7.0383561644,515
0,2NDFL,elementary,,274379,0,1,1,7.3128360215,38.356164384,0.3559473014,1,1,7.0383561644,517
0,OTHER,elementary,Corporate,90927,0,1,0,0.9924731183,35.077438431,0.5573770492,0,0,11.036342541,520
0,OTHER,elementary,Corporate,30375,0,0,,,32.972250917,2.8575342466,,,11.117808219,525
0,OTHER,elementary,Corporate,167916,0,1,1,0.4400537634,31.628415301,1.3244928513,0,0,9.9628490156,528
0,OTHER,elementary,Corporate,167916,0,1,1,0.4400537634,31.628415301,1.3244928513,0,0,9.9628490156,530
0,OTHER,elementary,Corporate,21982,0,1,0,4.6659722222,43.219267909,0.6721311475,0,0,3.7343364024,537
0,OTHER,elementary,,110000,0,0,2,0.2778001792,33.980821918,2.8301369863,0,0,5.2328767123,540
0,OTHER,beginner,Corporate,94128,0,1,0,2.1183691756,36.97311176,3.8739726027,1,1,13.668493151,548
0,OTHER,elementary,Corporate,65911,0,1,1,0.7609767025,36.978808294,2.0692192529,1,1,9.4473014447,549
0,OTHER,elementary,Corporate,42037,0,1,0,1.0573252688,30.682281608,0.2950819672,0,0,3.0439254435,551
0,OTHER,advanced,Corporate,47557,0,1,,,52.532786885,0.5765027322,,,7.4031289767,554
0,2NDFL,advanced,,14740,0,0,,,47.967123288,0.4354143274,,,2.9424657534,559
0,OTHER,advanced,Corporate,28178,0,1,,,25.587880829,0.8015794595,,,5.5358260349,564
0,OTHER,advanced,Corporate,26806,0,1,,,28.407410734,0.6150610076,,,4.5003069092,569
0,OTHER,elementary,Corporate,100170,0,1,1,0.8283378136,31.909836066,3.6994535519,0,0,7.9808743169,573
0,OTHER,elementary,,30000,0,0,0,0.8618055556,41.037922,0.5365521371,0,0,5.5749083015,576
0,OTHER,elementary,,35000,0,0,1,0.8882616487,40.197260274,8.6101354892,0,0,10.438356164,581
0,OTHER,beginner,,150000,0,0,1,0.8543458781,36.323287671,4.7744965941,0,0,11.61369863,586
0,OTHER,advanced,,26282,0,0,0,1.6927643369,39.718579235,6.8750056142,,,10.151717943,589
0,OTHER,elementary,,25000,0,0,0,0.4112455197,32.538251366,6.7125757916,1,1,8.9865483943,590
0,OTHER,elementary,Corporate,75433,0,1,1,0.4773521505,28.06557377,0.5,0,0,1.2450407965,593
0,OTHER,elementary,Corporate,89354,0,1,,,42.717808219,2.3342465753,,,5.6849315068,598
0,2NDFL,elementary,,12220,0,0,0,6,26.778082192,0.5750430421,2,3,5.5178082192,600
0,OTHER,advanced,Corporate,33724,0,1,1,0.9193324373,46.471232877,4.8116400928,,,0.9701100382,604
0,2NDFL,elementary,,116433,0,0,1,1.1463933692,29.928332959,3.4098360656,1,1,9.3831274796,609
0,OTHER,advanced,,82000,0,0,1,0.7552419355,47.564383562,3.498630137,1,1,2.5479452055,613
0,OTHER,elementary,,28000,0,0,2,0.3726030466,46.237555206,3.543715847,0,0,1.1498839734,617
0,2NDFL,elementary,,109921,0,0,0,17.800179211,33.809259675,0.3415300546,0,0,10.705150086,620
0,OTHER,elementary,,120000,0,0,0,3.2747311828,44.292349727,14.127232577,0,0,11.453259975,623
0,OTHER,elementary,,80304,0,1,0,8.5988799283,31.101369863,0.5671232877,1,1,10.142465753,628
0,2NDFL,elementary,,41217,0,0,1,0.4991263441,39.145205479,7.002739726,1,1,9.165528857,633
0,2NDFL,advanced,,50687,0,0,1,1.0808915771,33.072400629,7.0849315068,1,1,0.6871547272,644
0,2NDFL,elementary,,,0,1,2,0.5009184588,27.114424732,1.5116850064,0,0,3.9590163934,651
0,OTHER,high,Corporate,54138,0,1,0,10.606003584,26.780582379,0.5038700502,1,1,6.4655138858,655
0,2NDFL,advanced,,19245,0,0,,,39.791780822,5.8109589041,,,11.120547945,658
0,OTHER,elementary,Corporate,73524,0,1,1,2.1149641577,31.379781421,4.4212740475,0,0,5.8267534995,663
0,OTHER,elementary,Corporate,73524,0,1,1,2.1149641577,31.379781421,4.4212740475,0,0,5.8267534995,664
0,2NDFL,elementary,,99443,0,0,1,0.984453405,35.797814208,3.2829178831,0,0,9.6582603488,671
0,OTHER,elementary,Corporate,130065,0,1,1,0.4981182796,30.239561344,1.5601092896,0,0,9.2751777828,673
0,OTHER,elementary,Corporate,37881,0,1,,,25.764151508,0.8874391796,,,1.6244254809,675
0,2NDFL,elementary,,67304,0,0,,,32.793412681,2.1726027397,,,10.504109589,676
0,OTHER,elementary,Corporate,98369,0,1,1,1.0526433692,33.346597799,1.1356388951,1,1,5.527419717,679
0,OTHER,advanced,Corporate,35074,0,1,2,1.0839157706,32.858230406,0.855498166,0,0,4.9320008983,681
0,OTHER,elementary,,55000,0,0,1,0.6936155914,44.809424358,19.546410659,0,0,9.7327120293,685
0,2NDFL,elementary,Corporate,59242,0,1,,,26.090410959,0.2109589041,,,6,686
0,2NDFL,elementary,,29698,0,0,0,11.92296147,49.823654465,9.7852983008,0,0,4.7469421364,687
0,OTHER,advanced,Corporate,40884,0,1,0,0.247983871,44.940324875,0.9949696834,0,0,10.652054795,688
0,OTHER,elementary,,80040,0,0,,,48.396481773,1.0276293136,,,3.3616438356,691
0,OTHER,elementary,VIP,900000,0,0,0,0.8261648746,35.509589041,0.9215210719,0,0,10.695890411,692
0,OTHER,high,Corporate,34902,0,1,0,1.667047491,33.674698705,0.5546448087,1,1,9.8500411707,700
0,OTHER,advanced,Corporate,15994,0,1,,,46.122284602,6.8592709035,,,1.0537914515,701
0,OTHER,elementary,Corporate,44062,0,1,0,0.5705421147,39.011685006,0.877438431,1,1,10.910315143,704
0,OTHER,advanced,Corporate,51372,0,1,1,1.0856854839,50.348027547,2.5589864511,0,0,5.3151508346,721
0,OTHER,beginner,Corporate,63043,0,1,0,11.636984767,34.479452055,3.0547945205,1,1,8.1945205479,723
0,OTHER,elementary,,191400,0,0,0,1.4105062724,41.373486039,1.0118422038,2,2,8.0409836066,725
0,OTHER,elementary,Corporate,73267,0,1,1,0.9224462366,30.879452055,8.3780821918,1,1,9.2719664646,733
0,OTHER,elementary,Corporate,51791,0,1,1,0.2798387097,45.147975148,1.997260274,0,0,0.0547945205,745
0,OTHER,elementary,,25000,0,0,,,37.032876712,1.1150684932,,,6.6575342466,751
0,OTHER,elementary,Corporate,100839,0,1,,,37.839935624,5.144045213,,,9.1221274047,753
0,OTHER,beginner,,65000,0,0,1,0.4438844086,32.576936896,1.2438356164,0,0,12.254532525,756
0,OTHER,beginner,,65000,0,0,1,0.4438844086,32.576936896,1.2438356164,0,0,12.254532525,757
0,OTHER,elementary,Corporate,94192,0,1,0,2.3149865591,48.262729246,0.7763904484,0,0,3.1890410959,759
0,OTHER,elementary,,18000,0,0,0,3.439359319,43.09524665,3.1500411707,0,0,9.6157945954,763
0,OTHER,advanced,Corporate,30000,0,1,1,0.311984767,39.203780223,3.6475409836,0,0,9.0256980313,786
0,2NDFL,beginner,,,0,1,0,0.4014560932,49.086136687,3.7540983607,0,0,4.0382513661,789
0,2NDFL,elementary,,23619,0,0,,,27.781420765,0.7410958904,,,4.8753424658,794
0,OTHER,elementary,Corporate,34731,0,1,,,25.063402949,0.7704918033,,,4.9647728123,795
0,OTHER,elementary,,400000,0,0,1,0.4678091398,41.41490381,1.3053147691,0,0,8.60120518,799
0,2NDFL,advanced,,81637,0,0,0,0.4358198925,45.218534321,1.4596302118,2,2,0.1338797814,804
0,OTHER,elementary,Corporate,47855,0,1,0,1.1477822581,25.645220451,0.5575492178,0,0,2.9274122315,805
0,2NDFL,elementary,,20743,0,0,0,12.663776882,53.416999775,6.7950819672,0,0,7.3813833371,806
0,OTHER,elementary,,279828,1,0,1,0.5390456989,38.402739726,4.8830975372,0,0,10.112328767,822
0,OTHER,advanced,Corporate,245308,0,1,1,1,34.519380193,4.801571974,1,1,10.026229508,825
0,OTHER,advanced,,50000,0,0,,,37.086136687,1.2203832622,,,13.02860244,826
0,OTHER,elementary,Corporate,78356,0,1,1,1.0883064516,27.683060109,4.0601092896,0,0,7.3387978142,845
0,OTHER,elementary,,25000,0,0,,,30.2,1.1993113257,,,4.1205479452,848
0,2NDFL,elementary,Corporate,176755,0,1,,,30.543858073,3.912568306,,,9.2096114979,849
0,2NDFL,elementary,,103318,0,0,0,56.7015681,39.764383562,3.8739726027,1,1,11.610958904,859
0,OTHER,elementary,Corporate,59955,0,1,1,0.2409722222,25.056179355,2.4287820945,0,0,1.0452204506,868
0,OTHER,elementary,,87000,0,0,0,4.8277329749,51.093712104,5.7950819672,0,0,5.7348079946,870
0,OTHER,elementary,,200000,0,0,1,0.5331317204,53.660648252,5.8633879781,0,0,7.0825660603,875
0,OTHER,elementary,Corporate,24532,0,1,0,6.9181003584,32.322404372,3.2414851411,0,0,10.016827607,891
0,OTHER,elementary,,63500,0,0,5,0.4681899642,27.849562093,3.1618908601,1,1,7.6714799012,893
0,OTHER,advanced,Corporate,36184,0,1,0,3.7306451613,25.168702747,1.9276068568,0,0,4.4892506924,895
0,OTHER,advanced,Corporate,45759,0,1,,,30.761643836,0.1835616438,,,7.2246575342,910
