Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
20;1072380;Поступление зарплаты на счет;Ремонт;1;0.18;женский;0;0;второе высшее;специалист;>250;0;26;29;Информационные технологии;ООО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
20;1072400;2НДФЛ;Покупка недвижимости/ строительство;1;0.59;мужской;0;0;высшее;специалист;>250;0;16;30;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072420;Свободная форма с печатью работодателя;Ремонт;1;0.48;мужской;0;0;высшее;вспомогательный персонал;>250;3;9;32;Торговля;ООО;холост / не замужем;2;2;1;1;1;0.0724637681;0;1;0;0;0.4;2;3;64;5;0;0;5;42;1;0;0;0;0;0;0
20;1072440;2НДФЛ;Покупка автомобиля;1;0.59;женский;0;0;среднее-специальное;рабочий;>250;0;76;54;Торговля;ЗАО;женат / замужем;2;1;1;1;1;0.0256410256;1;0;0;0;0.4285714286;3;4;114;7;2;0;28;110;1;0;0;0;0;0;0
20;1072460;2НДФЛ;Обучение;1;0.49;мужской;0;0;незаконченное высшее;специалист;>250;0;14;23;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072480;2НДФЛ;Ремонт;0;0.44;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072500;Поступление зарплаты на счет;Покупка автомобиля;1;0.49;мужской;1;0;высшее;специалист;>250;0;45;36;Информационные технологии;ОАО;холост / не замужем;1;1;1;1;1;;0;0;0;0;0;0;1;0;1;0;0;103;103;0;0;0;0;0;0;0
20;1072520;2НДФЛ;Покупка земли;1;0.36;женский;0;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072540;Поступление зарплаты на счет;Ремонт;0;0.27;мужской;0;0;высшее;специалист;>250;0;14;50;Другое;ООО;женат / замужем;2;1;1;1;1;0.0086956522;0;0;0;0;0.1666666667;2;10;114;12;1;0;20;81;1;0;0;0;0;0;0
20;1072560;Поступление зарплаты на счет;Покупка бытовой техники;1;0.42;женский;2;0;незаконченное высшее;рабочий;>250;0;11;30;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072580;Форма банка (без печати работодателя);Ремонт;1;0.08;мужской;2;0;высшее;менеджер среднего звена;< 50;0;24;47;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072600;2НДФЛ;Ремонт;1;0.57;женский;0;0;высшее;менеджер среднего звена;>250;0;69;45;Сельское и лесное хозяйство;ЗАО;холост / не замужем;0;0;0;0;0;0;0;2;0;0;0.3076923077;4;9;99;13;1;0;4;74;0;0;0;0;0;0;0
20;1072620;Поступление зарплаты на счет;Покупка бытовой техники;0;0.38;мужской;1;0;высшее;специалист;>250;0;37;29;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072640;2НДФЛ;Ремонт;1;0.19;женский;3;0;высшее;вспомогательный персонал;< 50;0;47;35;Другое;ООО;холост / не замужем;0;0;0;0;0;0;1;0;0;0;0;0;3;34;3;0;0;50;94;0;0;0;0;0;0;0
20;1072660;Форма банка (без печати работодателя);Ремонт;0;0.59;женский;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;< 50;0;36;36;Торговля;ООО;женат / замужем;1;1;1;0;0;0;1;0;0;0;0.2857142857;2;5;144;7;2;3;11;51;0;0;0;0;0;0;0
20;1072680;Форма банка (без печати работодателя);Ремонт;1;0.58;мужской;1;0;среднее-специальное;рабочий;>250;0;83;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072700;Поступление зарплаты на счет;Ремонт;0;0.43;женский;0;1;высшее;вспомогательный персонал;>250;0;30;44;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072720;Поступление зарплаты на счет;Обучение;1;0.31;мужской;0;0;высшее;специалист;< 50;1;19;27;Другое;ЗАО;холост / не замужем;0;0;0;0;0;0.0666666667;1;0;0;0;1;2;0;56;2;1;0;20;39;1;0;0;0;0;0;0
20;1072740;Форма банка (без печати работодателя);Ремонт;1;0.34;мужской;0;0;среднее-специальное;менеджер по продажам;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072760;Свободная форма с печатью работодателя;Ремонт;1;0.59;женский;0;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072780;2НДФЛ;Ремонт;1;0.33;женский;0;0;высшее;специалист;>250;0;13;25;Другое;ООО;холост / не замужем;3;2;2;2;2;0;0;1;1;0;0.5;1;1;26;2;0;1;2;25;0;0;0;0;0;0;0
20;1072800;Свободная форма с печатью работодателя;Ремонт;0;0.51;женский;1;0;высшее;менеджер среднего звена;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072820;2НДФЛ;Ремонт;0;0.47;женский;2;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072840;Поступление зарплаты на счет;Ремонт;1;0.37;мужской;1;0;среднее-специальное;рабочий;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072860;Форма банка (без печати работодателя);Ремонт;0;0.11;мужской;2;0;высшее;специалист;>250;0;35;26;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072880;2НДФЛ;Ремонт;1;0.54;женский;0;0;высшее;менеджер высшего звена;>250;0;15;29;Другое;ООО;холост / не замужем;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;
20;1072900;2НДФЛ;Покупка недвижимости/ строительство;1;0.4;женский;0;0;высшее;специалист;>250;0;30;29;Торговля;ООО;холост / не замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
20;1072920;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.43;женский;1;0;высшее;рабочий;>250;0;119;42;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1072940;2НДФЛ;Покупка недвижимости/ строительство;0;0.53;мужской;1;0;высшее;менеджер высшего звена;< 50;0;22;48;Другое;ООО;женат / замужем;4;4;4;4;3;0.0338164251;0;0;0;0;0.5;2;2;200;4;0;0;46;92;1;0;0;0;0;0;0
